loaftp01.stage.r1soft.com,925.9389
sandbox02.r1soft.com,827.87218
houftp01.stage.r1soft.com,168.86411
houftp02.stage.r1soft.com,107.00577
lb01.stage.r1soft.com,54.61776
housbm04.stage.r1soft.com,41.38827
housbm02.stage.r1soft.com,34.97626
hourm01.stage.r1soft.com,17.836
hourm02.stage.r1soft.com,13.08288
sandbox01.r1soft.com,7.03551
lobsbm01.stage.r1soft.com,2.80487
houpxe01.stage.r1soft.com,2.60218
loasbm01.stage.r1soft.com,1.43202
houcm01.stage.r1soft.com,1.14576
houcass01.stage.r1soft.com,0.30129
houcass02.stage.r1soft.com,0.23555
houcass03.stage.r1soft.com,0.18812
vyattahou.continuum.net,0.13227
houmetric01.itsupport247.net,0.05721
housbm01.stage.r1soft.com,0.0048
total: 2207.52171GB ...  price: $198.68